benchmark;queries;location;timestamp;change size;classes;methods;fields;instructions;warmup iterations;measure iterations;times(ms)
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1000000000000;381;381;0;0;0;1;1;;139.586284
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310221951171;1;380;0;0;0;1;1;;4.98641
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222092902;1;380;0;0;0;1;1;;3.65491
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222106662;1;380;0;0;0;1;1;;3.295095
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222149889;1;380;0;0;0;1;1;;2.958521
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222179578;1;380;0;0;0;1;1;;3.030666
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222213509;1;380;0;0;0;1;1;;3.134505
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222304386;1;380;0;0;0;1;1;;6.422355
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222423742;1;380;0;0;0;1;1;;2.777406
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222923223;2;378;0;0;0;1;1;;1.315502
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222981150;1;378;0;0;0;1;1;;2.868869
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310222996331;1;378;0;0;0;1;1;;2.915657
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223075397;2;378;0;0;0;1;1;;2.420307
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223264428;1;378;0;0;0;1;1;;2.760501
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223278906;1;378;0;0;0;1;1;;2.827514
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223301926;1;378;0;0;0;1;1;;2.756577
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223362589;1;377;0;0;0;1;1;;1.102389
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223373963;1;377;0;0;0;1;1;;0.952668
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223406593;4;377;0;0;0;1;1;;4.629009
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223448351;1;377;0;0;0;1;1;;1.137707
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223479052;1;377;0;0;0;1;1;;1.096353
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223631475;1;377;0;0;0;1;1;;2.949465
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223644402;1;377;0;0;0;1;1;;2.846833
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223711927;1;377;0;0;0;1;1;;2.765331
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223723884;1;377;0;0;0;1;1;;2.725486
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310223735942;1;377;0;0;0;1;1;;2.75537
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310224044114;1;377;0;0;0;1;1;;2.778311
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310224098938;1;377;0;0;0;1;1;;0.980438
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310224649323;4;377;0;0;0;1;1;;4.305718
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310224673965;1;377;0;0;0;1;1;;0.665599
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310224729809;1;377;0;0;0;1;1;;0.740762
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310224732796;1;377;0;0;0;1;1;;2.535919
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310224741924;1;377;0;0;0;1;1;;2.798838
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310225636007;1;377;0;0;0;1;1;;2.708582
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310225677872;1;377;0;0;0;1;1;;2.779217
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310225697513;1;377;0;0;0;1;1;;0.987079
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310227344553;1;376;0;0;0;1;1;;4.532414
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310228718311;5;371;0;0;0;1;1;;5.019615
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310230255397;2;372;0;0;0;1;1;;2.92592
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310230314665;2;371;0;0;0;1;1;;2.859813
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310230352247;2;372;0;0;0;1;1;;2.883358
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310230685202;2;371;0;0;0;1;1;;3.003498
ASM-database-replay-time;FI_USELESS;test-data/src/main/resources/vespucci_developer_changes;1310240745032;2;371;0;0;0;1;1;;3.996916
